day,open,high,low,close,volume
2023-08-01 14:31:00,3993.805,3994.808,3993.154,3993.256,37083300
2023-08-01 14:32:00,3993.291,3993.568,3992.616,3992.616,31486100
2023-08-01 14:33:00,3992.769,3992.953,3991.968,3992.676,38087800
2023-08-01 14:34:00,3992.879,3993.375,3992.031,3992.409,33104300
2023-08-01 14:35:00,3992.510,3993.019,3991.511,3991.511,34306900
2023-08-01 14:36:00,3991.483,3992.890,3991.483,3992.890,36147700
2023-08-01 14:37:00,3992.674,3992.674,3991.026,3991.272,37579100
2023-08-01 14:38:00,3991.027,3991.890,3990.534,3990.534,37837400
2023-08-01 14:39:00,3990.984,3990.984,3990.222,3990.222,33338500
2023-08-01 14:40:00,3990.473,3990.473,3989.348,3989.348,45530800
2023-08-01 14:41:00,3989.518,3991.335,3989.518,3990.277,44284100
2023-08-01 14:42:00,3990.507,3991.129,3989.987,3991.007,43954400
2023-08-01 14:43:00,3991.137,3992.146,3990.973,3990.973,49931100
2023-08-01 14:44:00,3991.157,3991.318,3990.338,3990.707,38230500
2023-08-01 14:45:00,3991.190,3991.242,3990.082,3990.780,47228000
2023-08-01 14:46:00,3990.380,3992.546,3990.279,3991.880,52526200
2023-08-01 14:47:00,3991.356,3993.407,3991.356,3993.389,61003900
2023-08-01 14:48:00,3992.713,3993.421,3991.987,3993.025,49462100
2023-08-01 14:49:00,3993.016,3993.825,3992.014,3992.390,58535300
2023-08-01 14:50:00,3992.277,3993.870,3992.208,3993.627,49582900
2023-08-01 14:51:00,3994.125,3994.980,3992.795,3994.726,61304500
2023-08-01 14:52:00,3994.702,3994.954,3994.420,3994.420,55469600
2023-08-01 14:53:00,3994.153,3995.292,3994.153,3994.721,54080200
2023-08-01 14:54:00,3994.927,3994.927,3994.196,3994.196,58107800
2023-08-01 14:55:00,3994.007,3994.961,3993.954,3994.490,59284300
2023-08-01 14:56:00,3994.389,3995.253,3994.389,3994.792,64545400
2023-08-01 14:57:00,3994.861,3995.182,3994.472,3994.603,71028700
2023-08-01 14:58:00,3994.646,3994.870,3994.646,3994.798,4887800
2023-08-01 15:00:00,3995.320,3998.001,3995.320,3998.001,159574800
2023-08-02 09:31:00,3985.695,3987.908,3982.333,3984.741,358790000
2023-08-02 09:32:00,3985.007,3987.639,3983.459,3987.488,191302600
2023-08-02 09:33:00,3987.470,3989.868,3987.417,3988.165,143474100
2023-08-02 09:34:00,3988.077,3989.391,3987.728,3987.728,130893300
2023-08-02 09:35:00,3987.747,3990.406,3987.197,3990.406,128154900
2023-08-02 09:36:00,3990.984,3994.294,3990.984,3994.045,125579300
